username,user_id,score,total,required_score,result
.liapa,1021733131662938132,3,3,2,passed
fgsdd,899296517263863848,3,3,2,passed
cherry623,1071031195263062037,3,3,2,passed
z4ck_1,889712079102152725,3,3,2,passed
myfrt_75818,1303695152958672950,3,3,2,passed
aryan_gibson,1077193182065987614,3,3,2,passed
olajuwon_xx,1251693488605626391,0,26,26,failed
olajuwon_xx,1251693488605626391,0,26,26,failed
wviktorkaa_,889976088585973760,9,25,25,failed
olajuwon_xx,1251693488605626391,0,26,26,failed
wviktorkaa_,889976088585973760,0,25,25,failed
wviktorkaa_,889976088585973760,0,25,25,failed
olajuwon_xx,1251693488605626391,26,26,26,passed
westt121,826715462858440767,3,3,2,passed
joshkind6._76170,1310836791959617591,0,25,25,failed
wviktorkaa_,889976088585973760,13,25,25,failed
wviktorkaa_,889976088585973760,6,25,25,failed
bobby3410,968097129967013930,3,3,2,passed
wviktorkaa_,889976088585973760,7,25,25,failed
wviktorkaa_,889976088585973760,11,25,25,failed
wviktorkaa_,889976088585973760,0,25,25,failed
crescentina199,1153062278233608242,1,3,2,failed
kakasiai,176988708682203137,2,3,2,passed
wviktorkaa_,889976088585973760,16,25,25,failed
wviktorkaa_,889976088585973760,14,25,25,failed
wviktorkaa_,889976088585973760,18,25,25,failed
wviktorkaa_,889976088585973760,21,25,25,failed
binhtranva,1202091784528986175,1,3,2,failed
wviktorkaa_,889976088585973760,22,25,25,failed
wviktorkaa_,889976088585973760,24,25,25,failed
wviktorkaa_,889976088585973760,25,25,25,passed
0xvaas,1264023129634766879,0,3,2,failed
jinzo_unchained.,698160922069434428,0,3,2,failed
tenderlioness,1024058383365570660,25,25,25,passed
wviktorkaa_,889976088585973760,1,3,2,failed
tenderlioness,1024058383365570660,1,3,2,failed
gigla001,1032242494659895296,3,3,2,passed
mylasthope,322446934633611264,3,3,2,passed
levanesku,991276661196718080,3,3,2,passed
novasko,350776853948006411,3,3,2,passed
khaleedlee_25580,1226167552993136795,23,25,25,failed
khaleedlee_25580,1226167552993136795,1,25,25,failed
x.rami,968758658517315585,2,3,2,passed
ro_bill,919241471331278888,24,25,25,failed
